DateKey,TheDate,Day,Month,Year
873,2018-07-29,29,July,2018
874,2018-07-30,30,July,2018
875,2018-07-31,31,July,2018
876,2018-08-01,1,August,2018
877,2018-08-02,2,August,2018
878,2018-08-03,3,August,2018
879,2018-08-04,4,August,2018
880,2018-08-05,5,August,2018
881,2018-08-06,6,August,2018
882,2018-08-07,7,August,2018
883,2018-08-08,8,August,2018
884,2018-08-09,9,August,2018
885,2018-08-10,10,August,2018
886,2018-08-11,11,August,2018
887,2018-08-12,12,August,2018
888,2018-08-13,13,August,2018
889,2018-08-14,14,August,2018
890,2018-08-15,15,August,2018
891,2018-08-16,16,August,2018
892,2018-08-17,17,August,2018
893,2018-08-18,18,August,2018
894,2018-08-19,19,August,2018
895,2018-08-20,20,August,2018
896,2018-08-21,21,August,2018
897,2018-08-22,22,August,2018
898,2018-08-23,23,August,2018
899,2018-08-24,24,August,2018
900,2018-08-25,25,August,2018
901,2018-08-26,26,August,2018
902,2018-08-27,27,August,2018
903,2018-08-28,28,August,2018
904,2018-08-29,29,August,2018
905,2018-08-30,30,August,2018
906,2018-08-31,31,August,2018
907,2018-09-01,1,September,2018
908,2018-09-02,2,September,2018
909,2018-09-03,3,September,2018
910,2018-09-04,4,September,2018
911,2018-09-05,5,September,2018
912,2018-09-06,6,September,2018
913,2018-09-07,7,September,2018
914,2018-09-08,8,September,2018
915,2018-09-09,9,September,2018
916,2018-09-10,10,September,2018
917,2018-09-11,11,September,2018
918,2018-09-12,12,September,2018
919,2018-09-13,13,September,2018
920,2018-09-14,14,September,2018
921,2018-09-15,15,September,2018
922,2018-09-16,16,September,2018
923,2018-09-17,17,September,2018
924,2018-09-18,18,September,2018
925,2018-09-19,19,September,2018
926,2018-09-20,20,September,2018
927,2018-09-21,21,September,2018
928,2018-09-22,22,September,2018
929,2018-09-23,23,September,2018
930,2018-09-24,24,September,2018
931,2018-09-25,25,September,2018
932,2018-09-26,26,September,2018
933,2018-09-27,27,September,2018
934,2018-09-28,28,September,2018
935,2018-09-29,29,September,2018
936,2018-09-30,30,September,2018
937,2018-10-01,1,October,2018
938,2018-10-02,2,October,2018
939,2018-10-03,3,October,2018
940,2018-10-04,4,October,2018
941,2018-10-05,5,October,2018
942,2018-10-06,6,October,2018
943,2018-10-07,7,October,2018
944,2018-10-08,8,October,2018
945,2018-10-09,9,October,2018
946,2018-10-10,10,October,2018
947,2018-10-11,11,October,2018
948,2018-10-12,12,October,2018
949,2018-10-13,13,October,2018
950,2018-10-14,14,October,2018
951,2018-10-15,15,October,2018
952,2018-10-16,16,October,2018
953,2018-10-17,17,October,2018
954,2018-10-18,18,October,2018
955,2018-10-19,19,October,2018
956,2018-10-20,20,October,2018
957,2018-10-21,21,October,2018
958,2018-10-22,22,October,2018
959,2018-10-23,23,October,2018
960,2018-10-24,24,October,2018
961,2018-10-25,25,October,2018
962,2018-10-26,26,October,2018
963,2018-10-27,27,October,2018
964,2018-10-28,28,October,2018
965,2018-10-29,29,October,2018
